|      designation|        ra|       dec|r_k20fe|j_m_k20fe|j_msig_k20fe|j_flg_k20fe|h_m_k20fe|h_msig_k20fe|h_flg_k20fe|k_m_k20fe|k_msig_k20fe|k_flg_k20fe| k_ba|k_phi|sup_ba|sup_phi|  r_ext|j_m_ext|j_msig_ext|h_m_ext|h_msig_ext|k_m_ext|k_msig_ext|cc_flg|
|             char|    double|    double| double|   double|      double|        int|   double|      double|        int|   double|      double|        int|doubl|  int|double|    int| double| double|    double| double|    double| double|    double|  char|
|                 |       deg|       deg| arcsec|      mag|         mag|           |      mag|         mag|           |      mag|         mag|           |     |  deg|      |    deg| arcsec|    mag|       mag|    mag|       mag|    mag|       mag|      |
04295099+2413357    67.462471  24.226608     5.0    15.712        0.147           0    14.818        0.173           3    14.084        0.134           3 1.000    90  1.000      90   10.05  15.542      0.232  14.417      0.218  13.816      0.192 0      
04333278+2414394    68.386604  24.244289     7.7    15.562        0.130           0    14.732        0.163           0    14.286        0.158           0 0.395   -40  0.320     -40   15.12  15.482      0.224  14.311      0.253  14.000      0.220 0      
04325924+2430398    68.246834  24.511057     5.0      null         null        null    14.681        0.157           0    14.130        0.141           0 1.000    90  1.000      90   10.05  16.037      0.283  14.192      0.185  14.002      0.229 0      
04330594+2421284    68.274765  24.357914     6.7    15.140        0.104           0    14.048        0.102           0    13.531        0.093           0 0.720    70  0.720      70   13.26  14.811      0.141  13.585      0.125  13.310      0.139 0      
04321340+2523454    68.055855  25.395952     6.1    15.096        0.105           0    14.279        0.130           0    13.514        0.097           0 1.000    90  1.000      90   11.40  14.826      0.150  14.169      0.216  13.337      0.154 0      
04324196+2501408    68.174843  25.028027     5.8    15.489        0.111           0    14.487        0.117           0    14.192        0.133           0 0.590    35  0.590      35   12.56  15.105      0.142  14.294      0.187  13.964      0.203 0      
04301843+2457337    67.576813  24.959377     6.8    15.163        0.121           0    14.147        0.127           0    13.551        0.111           0 1.000    90  1.000      90   12.21  14.961      0.184  13.923      0.190  13.184      0.147 0      
04320028+2515293    68.001190  25.258162     6.5    15.569        0.120           0    14.874        0.166           0    14.447        0.170           0 0.475   -15  0.475      -5   13.39  15.343      0.225  14.401      0.243  14.177      0.258 0      
04322721+2527494    68.113380  25.463724     5.0    15.312        0.105           0    14.474        0.128           0    13.926        0.117           0 1.000    90  1.000      90   10.05  14.975      0.143  14.311      0.204  13.885      0.208 0      
04322881+2515053    68.120056  25.251499     5.0    15.571        0.133           0    14.751        0.165           0    14.042        0.130           0 1.000    90  1.000      90   10.05  15.523      0.239  14.728      0.310  13.967      0.226 0      
04321871+2504454    68.077965  25.079285     6.7    15.385        0.122           3    14.582        0.153           3    13.691        0.102           3 0.660    -5  0.660      -5   15.86  14.927      0.154  14.542      0.295  13.429      0.153 0      
04300877+2430548    67.536560  24.515224     5.0      null         null        null    14.871        0.179           0    14.197        0.147           0 1.000    90  1.000      90   10.05  16.188      0.309  14.393      0.213  14.089      0.248 0      
04302567+2419311    67.606995  24.325323     7.8    14.575        0.076           0    13.576        0.077           0    12.989        0.079           0 0.740   -20  0.880     -30   13.36  14.370      0.105  13.419      0.112  12.845      0.104 0      
04300709+2441268    67.529572  24.690781     5.1    15.011        0.077           0    14.099        0.089           0    13.614        0.087           0 1.000    90  1.000      90   10.20  14.935      0.133  14.014      0.154  13.455      0.138 0      
04300372+2444328    67.515511  24.742449     5.2    15.054        0.061           0    14.487        0.097           0    14.243        0.118           0 0.563     0  0.563       0   11.56  14.888      0.099  14.285      0.149  14.150      0.201 0      
04302202+2420411    67.591751  24.344765     5.0    15.763        0.154           0    14.827        0.167           0    14.317        0.165           0 1.000    90  1.000      90   10.05  15.517      0.236  14.516      0.231  14.015      0.232 0      
04303782+2417241    67.657585  24.290041     5.0    15.546        0.126           0    14.524        0.126           0    14.464        0.189           0 1.000    90  1.000      90    5.00  15.546      0.126  14.524      0.126  14.464      0.189 0      
04320220+2436523    68.009171  24.614552     5.1    15.577        0.098           0    14.512        0.098           0    14.188        0.112           0 0.550    90  0.550      90   10.16  15.210      0.139  14.223      0.137  14.016      0.186 0      
04301200+2437387    67.550034  24.627443     9.6    15.307        0.115           0    14.162        0.109           0    13.626        0.101           0 0.374   -20  0.480     -15   16.63  15.142      0.177  13.909      0.154  13.477      0.159 0      
04320879+2443354    68.036644  24.726505     5.0    15.146        0.087           0    14.364        0.113           0    13.976        0.121           0 1.000    90  1.000      90   10.05  14.989      0.141  14.120      0.166  13.745      0.180 0      
04303645+2445081    67.651909  24.752264     5.0      null         null        null      null         null        null    14.204        0.147           0 1.000    90  1.000      90   11.40  15.919      0.243  14.767      0.218  13.955      0.220 0      
04301537+2435077    67.564072  24.585493     5.0      null         null        null      null         null        null    14.227        0.151           0 1.000    90  1.000      90   10.05  16.648      0.472  14.960      0.271  14.190      0.267 0      
04311670+2440174    67.819611  24.671501     5.0    15.793        0.157           0    14.804        0.162           0    13.999        0.121           0 1.000    90  0.523      35   10.05  15.484      0.225  14.201      0.183  13.955      0.219 0      
04301164+2441497    67.548523  24.697165     5.0    15.672        0.139           0    14.678        0.149           0    14.085        0.132           0 1.000    90  1.000      90   10.05  15.493      0.218  14.650      0.269  14.077      0.241 0      
04295799+2451158    67.491638  24.854393     7.4    15.786        0.156           0    14.872        0.181           0    14.114        0.137           0 0.471    80  0.400      80   10.36  15.573      0.227  14.727      0.282  13.814      0.186 0      
04343453+2516557    68.643890  25.282145     5.2    15.457        0.127           0    14.739        0.177           0    13.994        0.130           0 1.000    90  1.000      90   10.30  15.247      0.194  14.384      0.233  13.769      0.195 0      
04345390+2530416    68.724586  25.511572     6.8    14.474        0.073           0    13.523        0.080           0    13.037        0.080           0 0.880   -40  0.860     -85   13.62  14.409      0.117  13.391      0.123  12.889      0.111 0      
04334564+2514339    68.440193  25.242760     7.8    15.271        0.131           0    14.371        0.155           0    13.558        0.108           0 0.680   -45  0.680     -45   14.89  15.039      0.199  14.062      0.219  13.224      0.147 0      
04333701+2518499    68.404236  25.313866     5.0    15.452        0.121           0    14.651        0.157           0    14.192        0.150           0 1.000    90  1.000      90    9.49  15.065      0.151  14.651      0.157  13.988      0.230 0      
04340703+2518398    68.529297  25.311056     5.0    15.149        0.092           0    14.181        0.101           4    14.185        0.149           0 1.000    90  1.000      90   10.05  15.033      0.152  13.805      0.132  14.159      0.268 0      
04340203+2525568    68.508469  25.432468     5.0    15.822        0.170           0    14.814        0.183           0    14.210        0.152           0 1.000    90  1.000      90    7.81  15.563      0.237  14.466      0.234  14.155      0.256 0      
04334793+2527439    68.449722  25.462204     7.4    14.892        0.077           0    14.216        0.110           0    13.880        0.117           0 0.502     5  0.460       0   12.83  14.805      0.132  14.023      0.175  13.731      0.226 0      
04351476+2529044    68.811523  25.484570     5.2    15.345        0.121           0    14.684        0.178           0    13.776        0.108           0 1.000    90  1.000      90   10.30  15.085      0.177  14.417      0.256  13.569      0.166 0      
04353220+2446134    68.884171  24.770399     5.1    15.458        0.133           0    14.643        0.168           0    13.972        0.129           0 1.000    90  1.000      90   10.20  15.342      0.222  14.547      0.284  13.754      0.192 0      
04342590+2426587    68.607918  24.449663     7.5    15.505        0.125           0    14.337        0.115           0    13.645        0.089           0 0.440    35  0.440      35    7.48  15.505      0.125  14.337      0.115  13.645      0.089 0      
04343577+2422377    68.649063  24.377142     6.9    15.139        0.125           0    13.972        0.116           0    13.447        0.107           0 1.000    90  1.000      90   14.56  15.104      0.238  13.575      0.154  13.285      0.175 0      
04341895+2438318    68.578964  24.642170     5.0    15.053        0.084           2      null         null        null    14.087        0.135           2 1.000    90  1.000      90    9.49  14.680      0.105  14.711      0.000  14.087      0.135 0      
04344134+2437066    68.672272  24.618509     5.0    15.490        0.132           0      null         null        null    14.485        0.201           0 1.000    90  1.000      90    8.00  15.293      0.196  14.739      0.000  14.144      0.259 0      
04342670+2426577    68.611275  24.449385     5.0    15.375        0.112           1      null         null        null    14.384        0.178           1 1.000    90  1.000      90    7.28  15.263      0.177  15.007      0.284  14.127      0.245 0      
04362054+2449001    69.085587  24.816721    16.8    13.315        0.061           0    12.153        0.062           0    11.527        0.061           0 0.440    90  0.380      90   28.54  13.201      0.077  11.946      0.065  11.444      0.060 0      
04360200+2443300    69.008354  24.725021    13.4    14.907        0.122           3    13.354        0.084           3    12.697        0.079           3 0.400   -40  0.420     -45   25.19  14.231      0.122  12.880      0.089  12.472      0.092 0      
04365432+2500076    69.226349  25.002138     7.6    14.772        0.085           3    13.947        0.098           0    13.360        0.094           0 0.600    90  0.480     -85   14.39  14.559      0.125  13.893      0.176  13.190      0.142 0      
04362890+2508182    69.120453  25.138395     7.3    14.557        0.092           0    13.610        0.098           0    13.233        0.105           0 0.800    80  1.000      90   12.76  14.406      0.133  13.581      0.164  13.105      0.153 0      
04363435+2507402    69.143158  25.127840     8.1    14.740        0.095           0    13.776        0.098           0    13.529        0.112           0 0.520   -25  0.540     -30   17.91  14.458      0.133  13.389      0.128  13.307      0.178 0      
04361476+2508241    69.061539  25.140047     9.7    13.937        0.074           0    13.074        0.088           0    12.673        0.096           0 0.720    75  0.740      65   18.99  13.661      0.090  12.740      0.100  12.502      0.117 0      
